Title,Budget,Revenue,Certification,Release_Year
xXx,,,,2002
Solaris,,,,2002
Die Another Day,,,,2002
Harry Potter and the Philosopher's Stone,,,,2002
The Lord of the Rings: The Fellowship of the Ring,,,,2002
"Monsters, Inc.",,,,2002
Harry Potter and the Chamber of Secrets,,,,2002
Jason X,,,,2002
Black Hawk Down,,,,2002
Spider-Man,,,,2002
The Lion King,,,,2002
Spirited Away,,,,2002
Ice Age,,,,2002
The Lord of the Rings: The Two Towers,,,,2002
City of God,,,,2002
The Running Man,,,,2002
Equilibrium,,,,2002
Y Tu Mamá También,,,,2002
Legend,,,,2002
Tron,,,,2002
A Beautiful Mind,,,,2002
Spirit: Stallion of the Cimarron,,,,2002
Catch Me If You Can,,,,2002
The Pianist,,,,2002
Gangs of New York,,,,2002
Treasure Planet,,,,2002
Signs,,,,2002
Resident Evil,,,,2002
Carrie,,,,2002
Blade II,,,,2002
Neon Genesis Evangelion: The End of Evangelion,,,,2002
Cinderella II: Dreams Come True,,,,2002
Lilo & Stitch,,,,2002
The Bourne Identity,,,,2002
Scooby-Doo,,,,2002
Cast Away,,,,2002
John Q,,,,2002
Evolution,,,,2002
Amélie,,,,2002
A Walk to Remember,,,,2002
Men in Black II,,,,2002
Ghost Sweeper Mikami,,,,2002
Dragon Ball Z: The Return of Cooler,,,,2002
The Transporter,,,,2002
Dragon Ball Z: Cooler's Revenge,,,,2002
Star Wars: Episode II - Attack of the Clones,,,,2002
Undisputed,,,,2002
The Hot Chick,,,,2002
8 Mile,,,,2002
Insomnia,,,,2002
Ju-on: The Grudge,,,,2002
Asterix & Obelix: Mission Cleopatra,,,,2002
We Were Soldiers,,,,2002
The Scorpion King,,,,2002
Beverly Hills Cop,,,,2002
Wasabi,,,,2002
Dog Soldiers,,,,2002
The Great Mouse Detective,,,,2002
Ghost Ship,,,,2002
Cinema Paradiso,,,,2002
Unfaithful,,,,2002
Brotherhood of the Wolf,,,,2002
Austin Powers in Goldmember,,,,2002
Eight Legged Freaks,,,,2002
Vanilla Sky,,,,2002
The Time Machine,,,,2002
Panic Room,,,,2002
Home Alone 4,,,,2002
Minority Report,,,,2002
The Count of Monte Cristo,,,,2002
The Ring,,,,2002
The Hunchback of Notre Dame II,,,,2002
Stuart Little 2,,,,2002
Spy Kids 2: The Island of Lost Dreams,,,,2002
Beverly Hills Cop II,,,,2002
Queen of the Damned,,,,2002
Barbie as Rapunzel,,,,2002
The Sweetest Thing,,,,2002
Return to Never Land,,,,2002
Secretary,,,,2002
Speed 2: Cruise Control,,,,2002
Tarzan & Jane,,,,2002
Philadelphia,,,,2002
Enough,,,,2002
Mr. Deeds,,,,2002
The Many Adventures of Winnie the Pooh,,,,2002
Ken Park,,,,2002
National Lampoon's Van Wilder,,,,2002
K-19: The Widowmaker,,,,2002
Killing Me Softly,,,,2002
Star Trek: Nemesis,,,,2002
Pokémon 4Ever,,,,2002
Mission to Mars,,,,2002
Showtime,,,,2002
Sympathy for Mr. Vengeance,,,,2002
The Rookie,,,,2002
Road to Perdition,,,,2002
Like Mike,,,,2002
